time_index,loudness_zwtv,sharpness_din_tv,roughness_dw,tnr_ecma_perseg,sii_ansi
0,0.006922559190115117,,0.25271500912951805,0.0,0.0
1,3.3912201460099496,,0.02413130275979205,0.0,
2,9.384796672825606,,0.06999732881110614,0.0,
3,15.134600243077642,,0.07312903481492672,0.0,
4,19.528731100873326,,0.0498155568427214,0.0,
5,22.187586915619086,3.9565800541177034,0.05723344002087394,0.0,
6,23.924897984189368,3.747762713334109,0.09932030867199085,0.0,
7,26.14497761282409,3.545487788356843,0.1902283809819903,0.0,
8,27.40463920761725,3.280661665585364,0.05328550787207326,0.0,
9,28.255464288907,3.107347274100531,0.09178895391901297,0.0,
10,29.362573729633638,2.954170538588801,0.045587117133033137,,
11,30.617075124861177,2.907703366526646,0.18963663086001512,,
12,31.10953796214269,2.6478057040514247,0.06704780583430614,,
13,32.050343950278815,2.8965557956103547,0.036319512880933325,,
14,33.90561808603935,2.8136008216019937,0.11396321887091872,,
15,34.64457711784017,2.6308328011815587,0.05000546800208158,,
16,35.606034035082374,2.6157516428773286,0.08879746802087764,,
17,36.92964531253685,2.5984496383602615,0.1051098121221724,,
18,37.94760414849882,2.4076558496115,0.05860496770097195,,
19,38.20186784978577,2.3408078883701497,0.11060116795221182,,
20,38.52228244387352,2.3049132821054514,0.13771142733287148,,
21,38.66713370850699,2.347822803382977,0.06857877839523742,,
22,38.97944106295488,2.2960658421462443,0.05542259965274805,,
23,39.49145393898622,2.182230693967474,0.06390948335479638,,
24,39.663234081148424,2.5011335504512204,0.03468303861576583,,
25,40.60299394066438,2.5651469904194784,0.1787055794216466,,
26,41.58990172558612,2.7903242334744207,0.13402467591330827,,
27,43.048031323784684,2.6045244879440084,0.13313581626326354,,
28,43.61585947750331,2.3730629872244973,0.07241874394346742,,
29,43.48473794112021,2.093375948235518,0.09184882395512763,,
30,42.412610522491384,1.884999529993629,0.06805498013212584,,
31,41.82230594181972,2.0362362991208998,0.05882229495240479,,
32,42.16894292369902,2.061075011792682,0.4213094997125501,,
33,42.73948518607477,1.9997499512158765,0.0528573290145804,,
34,42.99717610164808,1.9686729891808692,0.08145204302767312,,
35,43.272513538648326,1.9445454254937844,0.07249595966838357,,
36,43.3715911878314,1.8811666003531418,0.09099606321601512,,
37,43.93062660270006,1.836342264897188,0.05032831592101571,,
38,44.02233394070726,1.7742218394763305,0.045369501213436914,,
39,44.36785913380996,1.861753225117745,0.09463088364903324,,
40,45.029188848814094,1.9081381742434953,0.07223185212324594,,
41,46.00084888107513,1.8897929862864848,0.061403057985212645,,
42,46.65448946933475,1.7567328256280335,0.0652153010152189,,
43,46.347921954942095,1.7200742231432908,0.06568188156835539,,
44,46.372124802174355,1.844222549277634,0.05242735448069377,,
45,47.03102019700577,1.9092456567152165,0.049626903111957756,,
46,47.647985938424014,1.8127541140596015,0.06855655965625064,,
47,47.663507100449245,1.7997910308037541,0.04934071395491419,,
48,48.053149130746434,1.766687517374471,0.08662954043664381,,
49,48.14623978000059,1.6871140631358785,,,
50,48.16751069441597,1.7673657585841247,,,
51,48.333624467301625,1.6945652984819326,,,
52,48.622245676454966,1.734236427527271,,,
