device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
CPU,16384,4,2763008,2.763008,13.6668701171875,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,32768,4,5056768,5.056768,25.5418701171875,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,65536,4,9644288,9.644288,49.2918701171875,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,131072,4,18819328,18.819328,96.7918701171875,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,262144,4,37169408,37.169408,191.7918701171875,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,524288,4,73869568,73.869568,381.7918701171875,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,1048576,4,147269888,147.269888,761.7918701171875,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,0,8,470928,0.470928,1.798431396484375,0.0,32768.0,66.0552000044845,69.21799999690847,68.71414999841363,68.11912999983178,1.1635358644378768,,
CPU,1,8,471368,0.471368,1.8004531860351562,0.0,32768.0,66.81470000330592,74.39999999769498,69.2781500001729,69.71567000000505,1.912852330601569,,
CPU,2,8,471808,0.471808,1.8024749755859375,0.0,32768.0,65.80070000200067,71.1860000010347,69.40844999917317,69.04068000076222,1.509438859348135,,
CPU,4,8,472688,0.472688,1.8065185546875,0.0,32768.0,66.9147000007797,71.28080000256887,68.92510000034235,69.04488000000129,1.3244799757662644,,
CPU,8,8,474448,0.474448,1.814605712890625,0.0,32768.0,68.7915000016801,77.65590000053635,70.10615000035614,70.68449999933364,2.4706434919970457,,
CPU,16,8,477968,0.477968,1.830780029296875,0.0,32768.0,70.16319999820553,75.17440000083297,71.6318000049796,71.94076999949175,1.3809789090775852,,
CPU,32,8,485008,0.485008,1.863128662109375,0.0,32768.0,71.38120000308845,75.6044000008842,74.36269999743672,73.88151999984984,1.4548738129425984,,
CPU,64,8,499088,0.499088,1.927825927734375,0.0,32768.0,75.64999999885913,82.16109999921173,78.35315000193077,78.63183000081335,1.9327741449300573,,
CPU,128,8,527248,0.527248,2.057220458984375,0.0,32768.0,86.07299999857787,92.91530000336934,89.63465000124415,89.12111000026925,2.2681225798639013,,
CPU,256,8,583568,0.583568,2.316009521484375,0.0,32768.0,106.17819999606581,113.34929999429733,108.37650000030408,109.43554999830667,2.719325078338665,,
CPU,512,8,696208,0.696208,2.833587646484375,0.0,32768.0,144.84320000337902,157.38240000064252,152.40914999958477,151.40131000007386,3.275629925990145,,
