device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
AMD Radeon RX 7800 XT,262144,2,13575608,13.575608,81.78858947753906,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,524288,2,26682808,26.682808,161.78858947753906,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,1048576,2,52897208,52.897208,321.78858947753906,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,0,4,469248,0.469248,1.7918701171875,0.0,16384.0,3.5939000008511357,3.8927999994484708,3.6672000023827422,3.697749999264488,0.08744177693745772,,
AMD Radeon RX 7800 XT,1,4,469388,0.469388,1.7925949096679688,0.0,16384.0,3.5121999972034246,4.281100002117455,3.767450005398132,3.846520002116449,0.26266410031211535,,
AMD Radeon RX 7800 XT,2,4,469528,0.469528,1.7933197021484375,0.0,16384.0,3.5501000020303763,4.264299997885246,3.8234500025282614,3.793610001594061,0.19681929814218208,,
AMD Radeon RX 7800 XT,4,4,469808,0.469808,1.794769287109375,0.0,16384.0,3.6968999993405305,3.9455000005546026,3.7720999971497804,3.800819999014493,0.1038605593952971,,
AMD Radeon RX 7800 XT,8,4,470368,0.470368,1.79766845703125,0.0,16384.0,3.846500003419351,4.247599994414486,4.001900000730529,4.020499999023741,0.14209826698305655,,
AMD Radeon RX 7800 XT,16,4,471488,0.471488,1.803466796875,0.0,16384.0,4.940499995427672,5.556699994485825,5.261949998384807,5.196439998690039,0.20759871787762404,,
AMD Radeon RX 7800 XT,32,4,473728,0.473728,1.8150634765625,0.0,16384.0,9.440299996640533,10.350900003686547,10.010999998485204,9.95440999904531,0.2520675971128121,,
AMD Radeon RX 7800 XT,64,4,478208,0.478208,1.8382568359375,0.0,16384.0,20.023800003400538,21.18539999355562,20.407550000527408,20.51933999900939,0.40967404037937105,,
AMD Radeon RX 7800 XT,128,4,487168,0.487168,1.8846435546875,0.0,16384.0,46.07959999702871,49.66150000109337,47.21290000088629,47.546060000604484,1.0282655841904258,,
AMD Radeon RX 7800 XT,256,4,505088,0.505088,1.9774169921875,0.0,16384.0,136.61600000341423,140.14750000205822,138.74335000218707,138.57688000134658,1.2172415271071246,,
AMD Radeon RX 7800 XT,512,4,540928,0.540928,2.1629638671875,0.0,16384.0,490.66599999787286,499.2608999964432,496.54439999721944,496.16405999986455,2.215494697294916,,
AMD Radeon RX 7800 XT,1024,4,612608,0.612608,2.5340576171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,2048,4,755968,0.755968,3.2762451171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,4096,4,1042688,1.042688,4.7606201171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,8192,4,1616128,1.616128,7.7293701171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,16384,4,2763008,2.763008,13.6668701171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,32768,4,5056768,5.056768,25.5418701171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,65536,4,9644288,9.644288,49.2918701171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,131072,4,18819328,18.819328,96.7918701171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,262144,4,37169408,37.169408,191.7918701171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,524288,4,73869568,73.869568,381.7918701171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,1048576,4,147269888,147.269888,761.7918701171875,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,0,8,470928,0.470928,1.798431396484375,0.0,16384.0,3.4297999955015257,3.7349999984144233,3.4797000007529277,3.4975799993844703,0.08265402322742746,,
AMD Radeon RX 7800 XT,1,8,471368,0.471368,1.8004531860351562,0.0,16384.0,3.5560999967856333,3.8117000003694557,3.6909499976900406,3.6886899993987754,0.09984529528630591,,
AMD Radeon RX 7800 XT,2,8,471808,0.471808,1.8024749755859375,0.0,16384.0,3.5824000005959533,4.196999994746875,3.6685999984911177,3.735289999167435,0.1762589072763661,,
AMD Radeon RX 7800 XT,4,8,472688,0.472688,1.8065185546875,0.0,16384.0,3.631300001870841,4.53410000045551,3.907850001269253,3.9736100006848574,0.23048051273041267,,
AMD Radeon RX 7800 XT,8,8,474448,0.474448,1.814605712890625,0.0,16384.0,3.768599999602884,4.092499999387655,3.9149999975052197,3.934589998971205,0.10220430008644618,,
AMD Radeon RX 7800 XT,16,8,477968,0.477968,1.830780029296875,0.0,16384.0,4.886899994744454,5.579999997280538,5.245999996986939,5.2556099981302395,0.225851459112302,,
AMD Radeon RX 7800 XT,32,8,485008,0.485008,1.863128662109375,0.0,16384.0,9.302699996624142,12.265100005606655,10.159000001294771,10.362399999576155,0.9990930598901949,,
AMD Radeon RX 7800 XT,64,8,499088,0.499088,1.927825927734375,0.0,16384.0,19.560799999453593,22.21290000306908,20.4988500008767,20.640899999125395,0.8930907312990303,,
AMD Radeon RX 7800 XT,128,8,527248,0.527248,2.057220458984375,0.0,16384.0,47.336099996755365,51.4169000016409,48.66504999881727,48.8239699996484,1.18809478401286,,
AMD Radeon RX 7800 XT,256,8,583568,0.583568,2.316009521484375,0.0,16384.0,137.53490000090096,142.32919999631122,139.1105000002426,139.37332999921637,1.7124114167223232,,
AMD Radeon RX 7800 XT,512,8,696208,0.696208,2.833587646484375,0.0,16384.0,512.0153999960166,543.6779000010574,518.6844500021834,522.758800000156,9.981974097287932,,
AMD Radeon RX 7800 XT,1024,8,921488,0.921488,3.868743896484375,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,2048,8,1372048,1.372048,5.939056396484375,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,4096,8,2273168,2.273168,10.079681396484375,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,8192,8,4075408,4.075408,18.360931396484375,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,16384,8,7679888,7.679888,34.923431396484375,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
