file,input_samples,input_duration_s,inference_time_ms,backbone_frames,parameter,output_frames,pred_min,pred_max,pred_mean
Desolate - c.y.b.o.1.h. _79968-84968ms_ch1.wav,240000,5.0,3.23,30000,loudness_zwtv,2500,31.245672,122.110344,54.757401
Desolate - c.y.b.o.1.h. _79968-84968ms_ch1.wav,240000,5.0,3.23,30000,sharpness_din_tv,2500,0.694719,2.312038,1.110223
Desolate - c.y.b.o.1.h. _79968-84968ms_ch1.wav,240000,5.0,3.23,30000,roughness_dw,49,-0.092072,0.308396,0.077789
Desolate - c.y.b.o.1.h. _79968-84968ms_ch1.wav,240000,5.0,3.23,30000,tnr_ecma_perseg,10,0.372744,0.976614,0.619553
Desolate - c.y.b.o.1.h. _79968-84968ms_ch1.wav,240000,5.0,3.23,30000,sii_ansi,1,0.03252,0.03252,0.03252
