time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
100,29.339798,10.560975,1.9793802,0.98215544,,,,,,
101,29.262897,10.5696535,2.1413167,0.9812902,,,,,,
102,29.772509,10.580726,2.2763546,0.979586,,,,,,
103,30.087555,10.589364,2.037645,0.9756741,,,,,,
104,30.02281,10.598393,1.963164,0.9759043,,,,,,
105,30.217318,10.607994,2.198749,0.97615415,,,,,,
106,30.94999,10.617357,2.180455,0.9770309,,,,,,
107,31.21722,10.627141,2.057849,0.9762316,,,,,,
108,31.263803,10.635617,1.9716965,0.97319084,,,,,,
109,31.137104,10.644471,1.9447851,0.9751442,,,,,,
110,30.936049,10.651906,1.8593891,0.9705989,,,,,,
111,30.552845,10.659992,1.8815212,0.970752,,,,,,
112,30.549185,10.668116,2.001402,0.96909016,,,,,,
113,30.881226,10.675389,2.076646,0.9699266,,,,,,
114,31.170294,10.683913,2.0357997,0.9687997,,,,,,
115,30.96374,10.693713,1.9321979,0.9695937,,,,,,
116,30.596802,10.702399,1.8734759,0.96814543,,,,,,
117,30.122557,10.710841,1.9033037,0.96887034,,,,,,
118,30.175783,10.718302,2.0084455,0.96801025,,,,,,
119,30.397907,10.725247,2.0081086,0.9686296,,,,,,
120,30.821789,10.733184,2.0763693,0.9677929,,,,,,
121,31.01103,10.740776,2.0423079,0.96593463,,,,,,
122,30.80087,10.747971,1.9069062,0.96567655,,,,,,
123,30.665564,10.7549,2.030246,0.9671105,,,,,,
124,30.643732,10.760961,2.0602236,0.965113,,,,,,
125,30.906942,10.767652,2.0028846,0.9638822,,,,,,
126,31.039549,10.7733345,1.9411303,0.9635179,,,,,,
127,31.330616,10.778133,2.0140848,0.96029955,,,,,,
128,31.271606,10.783581,1.8421007,0.9600829,,,,,,
129,31.275026,10.787353,1.9621608,0.95890015,,,,,,
130,31.619839,10.791251,2.0331783,0.9568347,,,,,,
131,31.682318,10.796475,1.9659348,0.95741516,,,,,,
132,31.25978,10.800994,1.8318642,0.9574393,,,,,,
133,31.01981,10.806168,2.0091655,0.95845914,,,,,,
134,30.885225,10.810513,1.8993491,0.9593859,,,,,,
135,30.521582,10.815511,1.891719,0.96075714,,,,,,
136,30.410263,10.819965,1.9052185,0.9609163,,,,,,
137,30.844254,10.823453,2.0411596,0.9599315,,,,,,
138,31.380856,10.828774,1.9325984,0.9587818,,,,,,
139,31.205568,10.831239,1.8210151,0.9588195,,,,,,
140,30.776308,10.837192,1.8446594,0.9607421,,,,,,
141,30.27211,10.842243,1.8101779,0.9602795,,,,,,
142,30.345604,10.846959,1.9303321,0.95706356,,,,,,
143,30.694178,10.8506365,1.9945371,0.9589926,,,,,,
144,31.148388,10.856617,2.1084151,0.95821506,,,,,,
145,31.515472,10.862518,2.0091004,0.95777285,,,,,,
146,31.644499,10.865938,2.0366569,0.9570596,,,,,,
147,31.881474,10.870486,2.00934,0.9585124,,,,,,
148,31.778347,10.875681,1.8987303,0.95800674,,,,,,
149,31.739735,10.87925,2.020085,0.9566478,,,,,,
150,32.115536,10.881566,1.9201416,0.95631003,,,,,,
151,32.110428,10.883766,1.8819119,0.95484275,,,,,,
152,32.165546,10.885452,1.928699,0.9553142,,,,,,
153,31.803751,10.886414,1.9413284,0.9553353,,,,,,
154,31.441582,10.890285,1.9733843,0.957663,,,,,,
155,31.339684,10.895244,1.9477193,0.95834297,,,,,,
156,31.481613,10.898417,2.003353,0.95593834,,,,,,
157,31.848776,10.902844,2.1161077,0.9547064,,,,,,
158,32.173927,10.903975,2.1558726,0.95196193,,,,,,
159,32.138725,10.905705,1.9680207,0.95177394,,,,,,
160,32.10962,10.907849,2.0554285,0.9533528,,,,,,
161,32.51291,10.911698,1.9797443,0.9569075,,,,,,
162,32.402363,10.915673,1.778339,0.9554681,,,,,,
163,31.760206,10.919395,1.7894009,0.9581803,,,,,,
164,31.825521,10.92396,2.0464587,0.9557786,,,,,,
165,32.05121,10.928232,1.9453117,0.9584378,,,,,,
166,31.932135,10.932445,1.8507504,0.9596893,,,,,,
167,31.821447,10.935811,1.9667997,0.9603622,,,,,,
