epoch,loudness_zwtv,sharpness_din_tv,roughness_dw,tnr_ecma_perseg,sii_ansi,total,val_loudness_zwtv,val_sharpness_din_tv,val_roughness_dw,val_tnr_ecma_perseg,val_sii_ansi,val_total
1,625.4034423828125,0.2761647403240204,0.1641990691423416,45.45846939086914,0.0383729562163353,7.801987171173096,506.26165771484375,0.2589207589626312,0.15888072550296783,46.48130416870117,0.009426423348486423,5.725317001342773
2,390.8268737792969,0.24991482496261597,0.15829811990261078,41.07378005981445,0.013358312658965588,5.286525726318359,227.88316345214844,0.24137194454669952,0.16684892773628235,43.75632858276367,0.015083502978086472,4.789332389831543
3,186.82244873046875,0.2277078926563263,0.1548469364643097,39.260276794433594,0.012631591409444809,4.255897045135498,115.15088653564453,0.21916210651397705,0.15416319668293,41.908687591552734,0.016627131029963493,4.194397926330566
4,104.86138916015625,0.21340309083461761,0.15422511100769043,38.145172119140625,0.012143553234636784,3.8041012287139893,98.81788635253906,0.21256080269813538,0.15151672065258026,41.07465744018555,0.011383196339011192,3.7903895378112793
5,85.89745330810547,0.20471616089344025,0.15177308022975922,37.625980377197266,0.01252965722233057,3.6827447414398193,84.69957733154297,0.2027447521686554,0.15204192698001862,40.171226501464844,0.014913365244865417,3.8565471172332764
6,79.90518188476562,0.19363464415073395,0.14955966174602509,37.182247161865234,0.010556073859333992,3.4845328330993652,84.76410675048828,0.18596327304840088,0.15320555865764618,39.641117095947266,0.006855401210486889,3.359889507293701
7,78.11083221435547,0.18635065853595734,0.1477140188217163,36.96028518676758,0.011400044895708561,3.4739885330200195,71.64639282226562,0.19126689434051514,0.14651602506637573,39.71574401855469,0.00974670797586441,3.4412248134613037
8,78.283447265625,0.18466311693191528,0.1474837362766266,36.62098693847656,0.010545096360147,3.413447618484497,67.82239532470703,0.17685949802398682,0.1410607546567917,39.19807815551758,0.013237880542874336,3.5015461444854736
9,78.23921966552734,0.17723512649536133,0.14722371101379395,36.48344421386719,0.01121782697737217,3.412032127380371,70.53408813476562,0.17187771201133728,0.14417047798633575,39.06853103637695,0.008400301449000835,3.254822254180908
10,76.53193664550781,0.17004889249801636,0.14670519530773163,36.36360549926758,0.0102866031229496,3.3200976848602295,68.82190704345703,0.16319727897644043,0.1431068629026413,38.53475570678711,0.005507040768861771,3.041046619415283
11,74.62590026855469,0.16369879245758057,0.14386168122291565,35.824119567871094,0.009329662658274174,3.20556640625,73.71533966064453,0.1690833419561386,0.14404992759227753,38.9162712097168,0.006259135436266661,3.1399986743927
12,75.11973571777344,0.16013605892658234,0.14400547742843628,35.57591247558594,0.008707311935722828,3.154952049255371,72.633544921875,0.15968018770217896,0.15039727091789246,39.459388732910156,0.007456934079527855,3.2092034816741943
13,75.4348373413086,0.15813352167606354,0.14213283360004425,35.48417282104492,0.009050790220499039,3.152271270751953,66.99254608154297,0.1501062959432602,0.1378418654203415,38.38478469848633,0.007954196073114872,3.070646286010742
14,74.14859008789062,0.15312370657920837,0.14014621078968048,35.36125564575195,0.008697884157299995,3.092573881149292,66.37496948242188,0.1507457196712494,0.13505157828330994,37.83465576171875,0.007755529601126909,3.0305702686309814
15,73.39971160888672,0.15117743611335754,0.139536514878273,35.03863525390625,0.007211788557469845,2.9923973083496094,70.11978149414062,0.14937227964401245,0.13941313326358795,36.99497985839844,0.005312187597155571,2.9185843467712402
16,74.9372787475586,0.1506887525320053,0.13800832629203796,34.77663803100586,0.008329140953719616,3.039438486099243,73.13902282714844,0.14881926774978638,0.13806939125061035,36.90167999267578,0.006140219047665596,2.9614877700805664
17,72.23799133300781,0.1467432677745819,0.13776884973049164,34.47904968261719,0.007882615551352501,2.979830741882324,66.37432861328125,0.14078180491924286,0.13574260473251343,36.5854377746582,0.006407115142792463,2.892194986343384
18,72.45105743408203,0.14419427514076233,0.13795998692512512,34.64813995361328,0.008582512848079205,3.0116055011749268,65.9342269897461,0.14188751578330994,0.1379300206899643,37.058074951171875,0.011129716411232948,3.1657164096832275
19,71.42488098144531,0.1425873339176178,0.1348089873790741,34.25995635986328,0.008319392800331116,2.958723545074463,66.339111328125,0.13605190813541412,0.13243359327316284,37.02256393432617,0.010024570859968662,3.051344156265259
20,71.74386596679688,0.14124733209609985,0.13382437825202942,34.426849365234375,0.007341654505580664,2.90150785446167,75.46707916259766,0.14627878367900848,0.1355646550655365,36.5450439453125,0.007756425067782402,3.0209720134735107
21,71.63412475585938,0.13921354711055756,0.13260601460933685,34.17733383178711,0.00752281816676259,2.8886146545410156,64.16979217529297,0.13749662041664124,0.13331401348114014,37.30033874511719,0.006421906873583794,2.8727047443389893
22,71.0202407836914,0.13940410315990448,0.13344231247901917,34.02928161621094,0.007448719814419746,2.8844873905181885,64.61151885986328,0.13420231640338898,0.13268940150737762,35.79691696166992,0.005919019691646099,2.7944819927215576
23,70.67453002929688,0.13634051382541656,0.13134647905826569,33.56722640991211,0.007145822513848543,2.8306801319122314,63.559993743896484,0.12981276214122772,0.13023842871189117,35.62451934814453,0.004233461804687977,2.6649293899536133
24,71.18231201171875,0.13618245720863342,0.1302407830953598,33.6712646484375,0.008008136413991451,2.8729350566864014,66.19398498535156,0.13703569769859314,0.13731859624385834,35.83070755004883,0.0067108445800840855,2.88271427154541
25,70.53874206542969,0.13485582172870636,0.1301189661026001,33.48477554321289,0.0068206097930669785,2.7975656986236572,67.6395263671875,0.13781055808067322,0.1397041529417038,36.033756256103516,0.011198475025594234,3.1450037956237793
26,70.65493774414062,0.13260985910892487,0.1294819414615631,33.1490364074707,0.0074460688047111034,2.8092637062072754,64.24260711669922,0.128755122423172,0.12960943579673767,35.62164306640625,0.007223707623779774,2.815308094024658
27,71.18898010253906,0.13377267122268677,0.1293945461511612,33.20395278930664,0.007642222568392754,2.827394485473633,63.68700408935547,0.13100609183311462,0.1260557919740677,35.81399154663086,0.004133749753236771,2.644855260848999
28,70.25607299804688,0.13284854590892792,0.1275043487548828,33.09490966796875,0.00734075577929616,2.7900304794311523,63.606407165527344,0.13157621026039124,0.1263696849346161,35.252662658691406,0.008526855148375034,2.8643534183502197
29,70.37334442138672,0.1316974014043808,0.1255703717470169,32.83500671386719,0.007425224408507347,2.7722342014312744,67.48572540283203,0.1353195756673813,0.12870869040489197,34.9860725402832,0.006427439395338297,2.794193983078003
30,68.80464172363281,0.1315353810787201,0.1237315833568573,32.685489654541016,0.00703523401170969,2.730215072631836,63.51728057861328,0.12803198397159576,0.13153094053268433,34.20944595336914,0.006158279255032539,2.7312803268432617
31,69.44644927978516,0.12951351702213287,0.12462470680475235,32.41415023803711,0.006860034540295601,2.7139642238616943,63.790977478027344,0.12619030475616455,0.1256621778011322,34.357337951660156,0.005144665949046612,2.6402347087860107
32,69.0047378540039,0.12907937169075012,0.12342150509357452,32.259986877441406,0.006531271617859602,2.6822831630706787,65.90934753417969,0.1400148719549179,0.1353483647108078,36.49494552612305,0.019500551745295525,3.565124034881592
33,67.73112487792969,0.1284637153148651,0.12246651202440262,32.22714614868164,0.006836937740445137,2.6839041709899902,62.31511306762695,0.12152879685163498,0.12724155187606812,34.881160736083984,0.004609411116689444,2.6085875034332275
34,68.80567932128906,0.12675119936466217,0.12045689672231674,32.20365905761719,0.006162211298942566,2.6332974433898926,62.0699577331543,0.11901742964982986,0.13026729226112366,34.54047775268555,0.0077441600151360035,2.7702767848968506
35,67.89096069335938,0.12644140422344208,0.12100052833557129,31.987829208374023,0.006298643071204424,2.6334190368652344,67.32328796386719,0.13951891660690308,0.13530240952968597,36.80971145629883,0.005641418509185314,2.8535704612731934
36,68.45948791503906,0.12611357867717743,0.11980468779802322,31.8712158203125,0.005978893954306841,2.607736587524414,65.24534606933594,0.13045082986354828,0.12026755511760712,34.253814697265625,0.010970238596200943,2.9331963062286377
37,70.42029571533203,0.12683799862861633,0.11948199570178986,31.99273109436035,0.00670256232842803,2.657543897628784,62.119171142578125,0.12070093303918839,0.11960495263338089,33.879051208496094,0.004618455655872822,2.535022020339966
38,68.52659606933594,0.12737631797790527,0.11849889159202576,31.686946868896484,0.006281858775764704,2.616917848587036,68.86481475830078,0.1483670175075531,0.13110069930553436,35.02228927612305,0.0052417488768696785,2.8084263801574707
39,68.32648468017578,0.1257195770740509,0.11781540513038635,31.89998435974121,0.0058935158886015415,2.589874267578125,61.5830192565918,0.11826593428850174,0.11685891449451447,33.67971420288086,0.004381284117698669,2.4889509677886963
40,68.77032470703125,0.1270448863506317,0.11883208900690079,31.771305084228516,0.006223446223884821,2.617485761642456,62.656890869140625,0.12913940846920013,0.12352174520492554,34.2164421081543,0.007345340680330992,2.746629476547241
41,67.79547882080078,0.12753736972808838,0.11790298670530319,31.785776138305664,0.006490220781415701,2.6242847442626953,60.35604476928711,0.12234219908714294,0.12071511894464493,33.49681854248047,0.006911232136189938,2.6517386436462402
42,68.10403442382812,0.12360560894012451,0.11618747562170029,31.517087936401367,0.005102437920868397,2.5198402404785156,61.34822082519531,0.1179996207356453,0.11442354321479797,33.721248626708984,0.005477161146700382,2.5304360389709473
43,67.5325698852539,0.1242029070854187,0.11713024973869324,31.32573127746582,0.0056433649733662605,2.5492680072784424,60.60258483886719,0.11824067682027817,0.1131218895316124,33.16304016113281,0.008371549658477306,2.6581056118011475
44,68.2718505859375,0.12543900310993195,0.11727461218833923,31.444561004638672,0.0060957130044698715,2.5848264694213867,61.317020416259766,0.12384205311536789,0.12122885882854462,32.98140335083008,0.006547607481479645,2.6337461471557617
45,67.15927124023438,0.12143736332654953,0.11544253677129745,31.616294860839844,0.005603485275059938,2.530848979949951,60.61796569824219,0.12466344237327576,0.11908095329999924,33.29679489135742,0.006373911630362272,2.620049238204956
46,67.29159545898438,0.11991695314645767,0.11400646716356277,31.471920013427734,0.005501353181898594,2.507575273513794,62.493324279785156,0.13360139727592468,0.11488697677850723,33.676353454589844,0.01310950331389904,3.0007646083831787
47,66.13513946533203,0.12054106593132019,0.1131386086344719,31.16614532470703,0.005201664753258228,2.4773266315460205,63.013118743896484,0.12184485048055649,0.11558195948600769,34.30204772949219,0.00794814433902502,2.7032299041748047
48,66.33341217041016,0.11941885203123093,0.11302830278873444,31.1768741607666,0.0052469633519649506,2.475346803665161,61.39527130126953,0.11677823960781097,0.11857026815414429,33.625343322753906,0.00854883249849081,2.7080769538879395
49,67.8389892578125,0.12161090224981308,0.11478377133607864,30.97800636291504,0.006182689685374498,2.5452823638916016,61.695945739746094,0.12547941505908966,0.11567744612693787,33.760440826416016,0.0088313277810812,2.746826648712158
